index,subset,true_label,predicted_label,impaired_probability,path,label_name,split
015259.jpg,KH,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\015259.jpg,impaired,test
011231.jpg,KH,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\011231.jpg,impaired,test
017751.jpg,KH,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\017751.jpg,impaired,test
004991.jpg,KH,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004991.jpg,impaired,test
004360.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004360.jpg,impaired,test
008072.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\008072.jpg,impaired,test
006784.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\006784.jpg,impaired,test
000538.jpg,MR,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\000538.jpg,impaired,test
016230.jpg,MR,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\016230.jpg,impaired,test
032881.jpg,MR,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\032881.jpg,impaired,test
012317.jpg,MR,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\012317.jpg,impaired,test
009985.jpg,LW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\009985.jpg,impaired,test
001432.jpg,MR,0,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\001432.jpg,not_impaired,test
003152.jpg,MR,1,0,7.177791694346071e-10,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\003152.jpg,impaired,test
001750.jpg,LW,1,0,7.870705864831962e-09,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\001750.jpg,impaired,test
033374.jpg,MR,0,1,0.9999995231628418,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\033374.jpg,not_impaired,test
004902.jpg,MR,1,0,8.994202858048084e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004902.jpg,impaired,test
004940.jpg,JW,1,0,1.6549801102883066e-06,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004940.jpg,impaired,test
016733.jpg,JW,0,1,0.9999970197677612,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\016733.jpg,not_impaired,test
003388.jpg,JW,1,0,4.823396920983214e-06,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\003388.jpg,impaired,test
009973.jpg,MR,1,0,1.311627056566067e-05,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\009973.jpg,impaired,test
016171.jpg,MR,0,1,0.9999862909317015,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\016171.jpg,not_impaired,test
006853.jpg,JW,1,0,1.4012380233907606e-05,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\006853.jpg,impaired,test
006697.jpg,MR,1,0,1.8506778360460885e-05,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\006697.jpg,impaired,test
