index,subset,true_label,predicted_label,impaired_probability,path,label_name,split
034134.jpg,JW,0,0,1.416683090837978e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\not_impaired\034134.jpg,not_impaired,test
030854.jpg,MR,0,0,1.7767932547485546e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\030854.jpg,not_impaired,test
026446.jpg,JW,0,0,2.118096631420485e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\not_impaired\026446.jpg,not_impaired,test
025878.jpg,JW,0,0,2.2368892871327267e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\not_impaired\025878.jpg,not_impaired,test
008152.jpg,LW,0,0,2.24135646931245e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\LW\not_impaired\008152.jpg,not_impaired,test
000643.jpg,KH,0,0,2.3387062242363757e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\000643.jpg,not_impaired,test
033665.jpg,MR,0,0,2.370380514093995e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\033665.jpg,not_impaired,test
008638.jpg,KH,1,1,0.9999997615814208,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\impaired\008638.jpg,impaired,test
021020.jpg,KH,1,1,0.9999997615814208,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\impaired\021020.jpg,impaired,test
032086.jpg,MR,1,1,0.9999997615814208,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\impaired\032086.jpg,impaired,test
006838.jpg,KH,0,1,0.9999997615814208,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\006838.jpg,not_impaired,test
010293.jpg,MR,1,0,4.807154709851602e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\impaired\010293.jpg,impaired,test
001347.jpg,KH,1,0,5.262570539343869e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\impaired\001347.jpg,impaired,test
002688.jpg,KH,1,0,5.82177904107084e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\impaired\002688.jpg,impaired,test
001181.jpg,KH,0,1,0.9999994039535522,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\001181.jpg,not_impaired,test
010364.jpg,KH,1,0,6.952781177460565e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\impaired\010364.jpg,impaired,test
008821.jpg,KH,1,0,7.25209417851147e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\impaired\008821.jpg,impaired,test
003388.jpg,JW,1,0,7.780242299304518e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\impaired\003388.jpg,impaired,test
009539.jpg,JW,0,1,0.9999986886978148,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\not_impaired\009539.jpg,not_impaired,test
007326.jpg,MR,0,1,0.9999985694885254,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\007326.jpg,not_impaired,test
