index,subset,true_label,predicted_label,impaired_probability,path,label_name,split
004991.jpg,KH,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004991.jpg,impaired,test
005167.jpg,KH,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\005167.jpg,impaired,test
004360.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004360.jpg,impaired,test
015954.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\015954.jpg,impaired,test
008365.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\008365.jpg,impaired,test
024612.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\024612.jpg,impaired,test
006784.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\006784.jpg,impaired,test
003396.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\003396.jpg,impaired,test
033068.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\033068.jpg,impaired,test
029921.jpg,JW,1,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\029921.jpg,impaired,test
033374.jpg,MR,0,1,1.0,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\033374.jpg,not_impaired,test
003152.jpg,MR,1,0,1.0854480869681993e-08,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\003152.jpg,impaired,test
001750.jpg,LW,1,0,1.6046504569544595e-08,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\001750.jpg,impaired,test
016733.jpg,JW,0,1,0.9999997615814208,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\016733.jpg,not_impaired,test
004902.jpg,MR,1,0,5.588950102719537e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004902.jpg,impaired,test
004940.jpg,JW,1,0,6.755209369657678e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\004940.jpg,impaired,test
016171.jpg,MR,0,1,0.999997615814209,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\016171.jpg,not_impaired,test
006853.jpg,JW,1,0,2.419249995000428e-06,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\006853.jpg,impaired,test
027283.jpg,JW,0,1,0.9999953508377076,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\027283.jpg,not_impaired,test
026490.jpg,MR,0,1,0.9999902248382568,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_mgs\026490.jpg,not_impaired,test
